"humid","h","w"
8.49,1,1
6.42,1,2
6.03,1,3
5.94,1,4
8.09,1,5
8.23,1,1
6.33,1,2
6.14,1,3
7.14,1,4
7.11,1,5
7.45,1,1
6.23,1,2
6.28,1,3
7.19,1,4
8.24,1,5
8.06,1,1
5.65,1,2
5.45,1,3
6.53,1,4
7.55,1,5
6.51,2,1
4.77,2,2
4.23,2,3
6.07,2,4
5.87,2,5
6.34,2,1
4.53,2,2
4.5,2,3
5.13,2,4
6.75,2,5
6.74,2,1
4.4,2,2
4.54,2,3
6.08,2,4
5.79,2,5
5.46,2,1
4.91,2,2
4.5,2,3
4.95,2,4
6.58,2,5
6.14,3,1
3.73,3,2
3.82,3,3
4.79,3,4
5.93,3,5
6.26,3,1
4.98,3,2
3.26,3,3
3.64,3,4
6.15,3,5
5.68,3,1
4.4,3,2
3.06,3,3
4.96,3,4
5.02,3,5
6.18,3,1
3.51,3,2
3.25,3,3
4.89,3,4
5.63,3,5
6.49,4,1
5.36,4,2
4.43,4,3
4.6,4,4
6.42,4,5
7.14,4,1
4.8,4,2
4.13,4,3
4.15,4,4
6.36,4,5
6.83,4,1
4.87,4,2
4.94,4,3
5.25,4,4
5.72,4,5
5.78,4,1
4.83,4,2
4.21,4,3
4.25,4,4
4.66,4,5
7.36,5,1
6.68,5,2
6.28,5,3
6.66,5,4
8.06,5,5
8.42,5,1
6.38,5,2
6.15,5,3
6.53,5,4
8.28,5,5
7.94,5,1
6.42,5,2
5.54,5,3
6.14,5,4
8.15,5,5
7.2,5,1
7.01,5,2
6.21,5,3
6.46,5,4
8.16,5,5
