Haemmer,Bakterietype,radius
soelv1,B1,15.46
soelv1,B1,14.27
soelv1,B1,14.7
soelv1,B1,14.9
soelv1,B1,13.18
soelv1,B2,16.7
soelv1,B2,15.78
soelv1,B2,14.59
soelv1,B2,21.79
soelv1,B2,13.64
soelv1,B3,21.18
soelv1,B3,24.98
soelv1,B3,22.58
soelv1,B3,25.21
soelv1,B3,21.55
soelv1,B4,19.08
soelv1,B4,18.99
soelv1,B4,9.59
soelv1,B4,16.74
soelv1,B4,18.6
soelv2,B1,20.72
soelv2,B1,19.75
soelv2,B1,19.99
soelv2,B1,18.36
soelv2,B1,25.18
soelv2,B2,24.79
soelv2,B2,21.25
soelv2,B2,18.62
soelv2,B2,21.93
soelv2,B2,21.91
soelv2,B3,25.53
soelv2,B3,25.25
soelv2,B3,26.02
soelv2,B3,23.37
soelv2,B3,29.34
soelv2,B4,17.88
soelv2,B4,19.69
soelv2,B4,21.3
soelv2,B4,18.87
soelv2,B4,23.76
anti,B1,26.88
anti,B1,28.4
anti,B1,28.13
anti,B1,29.47
anti,B1,30.12
anti,B2,30.14
anti,B2,34.46
anti,B2,30.17
anti,B2,33.68
anti,B2,33.54
anti,B3,40.45
anti,B3,37.82
anti,B3,37.32
anti,B3,40.85
anti,B3,38.06
anti,B4,31.62
anti,B4,33.05
anti,B4,30.12
anti,B4,26.66
anti,B4,35.04
