"styrke","blander","maaler","gruppe"
49.4,"B1","a","B1.a"
54.3,"B1","a","B1.a"
50.2,"B1","a","B1.a"
58.8,"B1","a","B1.a"
58.5,"B1","a","B1.a"
50.7,"B1","a","B1.a"
55.3,"B1","a","B1.a"
56.6,"B1","a","B1.a"
55.7,"B1","b","B1.b"
49.3,"B1","b","B1.b"
51.5,"B1","b","B1.b"
57.9,"B1","b","B1.b"
39.7,"B1","b","B1.b"
46.6,"B1","b","B1.b"
47.3,"B1","b","B1.b"
44.2,"B1","b","B1.b"
53.2,"B2","a","B2.a"
55.4,"B2","a","B2.a"
51.1,"B2","a","B2.a"
54.7,"B2","a","B2.a"
51.1,"B2","a","B2.a"
49.5,"B2","a","B2.a"
52.9,"B2","a","B2.a"
60,"B2","a","B2.a"
46.2,"B2","b","B2.b"
43.9,"B2","b","B2.b"
46,"B2","b","B2.b"
49.7,"B2","b","B2.b"
41.6,"B2","b","B2.b"
50.9,"B2","b","B2.b"
44.6,"B2","b","B2.b"
49,"B2","b","B2.b"
52,"B3","a","B3.a"
52.2,"B3","a","B3.a"
58.5,"B3","a","B3.a"
43,"B3","a","B3.a"
62.5,"B3","a","B3.a"
52.8,"B3","a","B3.a"
51.1,"B3","a","B3.a"
63.3,"B3","a","B3.a"
52.2,"B3","b","B3.b"
51.9,"B3","b","B3.b"
43,"B3","b","B3.b"
48.4,"B3","b","B3.b"
55.4,"B3","b","B3.b"
47.3,"B3","b","B3.b"
54.5,"B3","b","B3.b"
39.5,"B3","b","B3.b"
