"skumvol","type","stor"
510,"skrabe","L"
514,"skrabe","L"
533,"skrabe","L"
517,"skrabe","L"
518,"skrabe","L"
535,"skrabe","L"
521,"skrabe","L"
502,"skrabe","L"
509,"skrabe","L"
511,"skrabe","L"
524,"skrabe","M"
514,"skrabe","M"
515,"skrabe","M"
512,"skrabe","M"
504,"skrabe","M"
530,"skrabe","M"
516,"skrabe","M"
489,"skrabe","M"
518,"skrabe","M"
505,"skrabe","M"
473,"bur","L"
483,"bur","L"
474,"bur","L"
477,"bur","L"
478,"bur","L"
466,"bur","L"
494,"bur","L"
487,"bur","L"
472,"bur","L"
499,"bur","L"
484,"bur","M"
476,"bur","M"
489,"bur","M"
489,"bur","M"
488,"bur","M"
487,"bur","M"
485,"bur","M"
479,"bur","M"
476,"bur","M"
475,"bur","M"
536,"oeko","L"
526,"oeko","L"
528,"oeko","L"
521,"oeko","L"
520,"oeko","L"
535,"oeko","L"
537,"oeko","L"
533,"oeko","L"
542,"oeko","L"
555,"oeko","L"
521,"oeko","M"
501,"oeko","M"
537,"oeko","M"
519,"oeko","M"
519,"oeko","M"
538,"oeko","M"
523,"oeko","M"
513,"oeko","M"
528,"oeko","M"
525,"oeko","M"
