Sex,LnLength,LnWeight
han,3.35,1.43
hun,3.29,1.59
han,3.36,1.64
hun,3.31,1.73
hun,3.34,1.69
hun,3.35,1.7
hun,3.4,1.87
han,3.39,1.86
hun,3.37,1.85
han,3.44,1.75
han,3.42,1.88
han,3.43,1.85
han,3.4,1.84
hun,3.46,1.83
hun,3.4,1.9
hun,3.38,1.96
hun,3.41,1.86
hun,3.42,1.98
hun,3.4,1.95
hun,3.39,1.89
hun,3.4,1.98
hun,3.41,1.99
hun,3.4,2.02
hun,3.42,1.96
han,3.46,2.03
han,3.5,2.04
han,3.47,1.93
hun,3.47,2.14
hun,3.45,2.09
hun,3.43,1.98
han,3.48,2.12
han,3.48,2.11
hun,3.42,2.05
han,3.48,2.11
han,3.49,2.1
han,3.48,2.14
han,3.48,2.19
hun,3.44,2.18
hun,3.44,2.17
han,3.5,2.17
han,3.5,2.25
han,3.51,2.14
han,3.53,2.24
han,3.51,2.31
hun,3.48,2.24
han,3.51,2.19
han,3.51,2.25
hun,3.51,2.24
hun,3.5,2.22
han,3.52,2.26
han,3.48,2.2
han,3.51,2.36
hun,3.38,2.29
han,3.48,2.36
hun,3.5,2.3
han,3.54,2.26
hun,3.5,2.33
han,3.51,2.26
han,3.55,2.29
hun,3.51,2.29
han,3.57,2.34
hun,3.51,2.36
hun,3.55,2.42
han,3.52,2.34
hun,3.51,2.4
han,3.56,2.48
han,3.55,2.42
han,3.53,2.46
hun,3.53,2.51
han,3.58,2.38
han,3.55,2.45
han,3.58,2.49
hun,3.58,2.56
han,3.63,2.53
han,3.6,2.47
han,3.63,2.84
hun,3.71,2.88
han,3.21,1.35
