"x","grp"
0.613,"a"
0.268,"a"
1.952,"a"
1.894,"a"
1.365,"a"
0.167,"a"
0.649,"a"
0.213,"a"
1.103,"a"
2.922,"a"
0.931,"a"
0.303,"a"
1.617,"a"
2.108,"a"
0.493,"a"
0.271,"a"
0.71,"a"
0.419,"a"
3.122,"a"
0.474,"a"
0.395,"b"
7.187,"b"
1.26,"b"
0.983,"b"
1.258,"b"
0.441,"b"
0.78,"b"
0.87,"b"
2.182,"b"
0.943,"b"
1.635,"b"
0.979,"b"
0.674,"b"
0.521,"b"
1.182,"b"
1.817,"b"
0.247,"b"
0.213,"b"
0.385,"b"
2.777,"b"
1.927,"b"
0.181,"b"
0.826,"b"
1.341,"b"
0.612,"b"
5.095,"b"
0.626,"b"
2.833,"b"
1.114,"b"
1.072,"b"
